name,latitude,longitude
Graz,47.05,15.45
Aflenz,47.54,15.24
Döllach,47.54,15.30
Dörflach,47.55,15.27
Graßnitz,47.55,15.30
Jauring,47.55,15.26
Tutschach,47.54,15.25
Sankt Erhard,47.39,15.45
Sankt Jakob-Breitenau,47.39,15.43
Übelstein,47.40,15.30
Berndorf,47.42,15.27
Bruck,47.41,15.27
Kaltbach,47.42,15.31
Pischk,47.41,15.29
Pischkberg,47.42,15.30
Wiener Vorstadt,47.41,15.28
Etmißl,47.52,15.17
Lonschitz,47.50,15.16
Oisching,47.73,15.26
Frauenberg,47.43,15.34
Graschnitzgraben,47.44,15.36
Aschbach,47.67,15.33
Gollrad,47.65,15.30
Greith,47.71,15.22
Gußwerk,47.74,15.31
Wegscheid,47.68,15.32
Weichselboden,47.67,15.17
Halltal,47.76,15.37
Mooshuben,47.75,15.36
Rechengraben,47.79,15.35
Schöneben,47.73,15.39
Walstern,47.81,15.38
Arndorf,47.43,15.24
Deuchendorf,47.47,15.32
Diemlach,47.43,15.27
Einöd,47.39,15.28
Hafendorf,47.46,15.32
Kapfenberg,47.44,15.29
Krottendorf,47.45,15.33
Pötschach,47.46,15.35
Pötschen,47.46,15.28
Sankt Martin,47.44,15.29
Schörgendorf,47.44,15.23
Stegg,47.44,15.22
Winkl,47.45,15.27
Mariazell,47.77,15.32
Rasing,47.77,15.31
Heuberg,47.39,15.25
Kotzgraben,47.43,15.19
Mötschlach,47.41,15.19
Oberaich,47.40,15.22
Oberdorf,47.47,15.12
Picheldorf,47.41,15.19
Sankt Dionysen,47.41,15.20
Urgental,47.41,15.25
Utschtal,47.40,15.21
Göritz,47.48,15.33
Pönegg,47.47,15.28
Parschlug,47.48,15.29
Gabraun,47.37,15.35
Kirchdorf,47.36,15.33
Mautstatt,47.34,15.36
Mixnitz,47.33,15.36
Pernegg,47.36,15.34
Roßgraben,47.36,15.37
Traföß,47.34,15.35
Zlatten,47.37,15.32
Sankt Ilgen,47.55,15.17
Hüttengraben,47.48,15.17
Oberdorf,47.47,15.12
Obertal,47.46,15.09
Rastal,47.47,15.15
Sankt Katharein,47.47,15.16
Untertal,47.47,15.17
Alt-Hadersdorf,47.50,15.41
Fuscht,47.49,15.34
Gassing,47.47,15.35
Lesing,47.47,15.36
Mödersdorf,47.48,15.35
Mürzgraben,47.51,15.38
Nechelheim,47.48,15.36
Pogusch,47.53,15.33
Sankt Lorenzen,47.48,15.37
Scheuchenegg,47.48,15.36
Graschnitz,47.46,15.36
Sankt Marein,47.47,15.37
Schaldorf,47.47,15.37
Grünau,47.77,15.27
Sankt Sebastian,47.78,15.31
Fölz,47.53,15.23
Hinterberg,47.53,15.27
Palbersdorf,47.53,15.24
Thörl,47.52,15.23
Oberort,47.53,15.08
Pichl-Großdorf,47.51,15.07
Tal,47.52,15.08
Unterort,47.50,15.08
Au bei Turnau,47.57,15.31
Göriach,47.56,15.32
Seewiesen,47.62,15.27
Stübming,47.57,15.38
Thal,47.54,15.33
Turnau,47.56,15.34
Aibl,46.68,15.23
Aichberg,46.69,15.24
